,medal_type,medal_code,medal_date,athlete_short_name,athlete_name,country_code,discipline_code
526,Bronze Medal,3,2021-07-28 00:00:00.0,SCHULZ G,SCHULZ German,ARG,RUG
527,Bronze Medal,3,2021-07-28 00:00:00.0,ISGRO R,ISGRO Rodrigo,ARG,RUG
528,Gold Medal,1,2021-07-28 00:00:00.0,MILAK K,MILAK Kristof,HUN,SWM
529,Silver Medal,2,2021-07-28 00:00:00.0,HONDA T,HONDA Tomoru,JPN,SWM
530,Bronze Medal,3,2021-07-28 00:00:00.0,BURDISSO F,BURDISSO Federico,ITA,SWM
531,Gold Medal,1,2021-07-28 00:00:00.0,SCOTT D,SCOTT Duncan,GBR,SWM
532,Gold Medal,1,2021-07-28 00:00:00.0,DEAN T,DEAN Tom,GBR,SWM
533,Gold Medal,1,2021-07-28 00:00:00.0,JARVIS C,JARVIS Calum,GBR,SWM
534,Gold Medal,1,2021-07-28 00:00:00.0,GUY J,GUY James,GBR,SWM
535,Gold Medal,1,2021-07-28 00:00:00.0,RICHARDS M,RICHARDS Matthew,GBR,SWM
536,Silver Medal,2,2021-07-28 00:00:00.0,RYLOV E,RYLOV Evgeny,ROC,SWM
537,Silver Medal,2,2021-07-28 00:00:00.0,VEKOVISHCHEV M,VEKOVISHCHEV Mikhail,ROC,SWM
538,Silver Medal,2,2021-07-28 00:00:00.0,GIREV I,GIREV Ivan,ROC,SWM
539,Silver Medal,2,2021-07-28 00:00:00.0,DOVGALYUK M,DOVGALYUK Mikhail,ROC,SWM
540,Silver Medal,2,2021-07-28 00:00:00.0,KRASNYKH A,KRASNYKH Aleksandr,ROC,SWM
541,Silver Medal,2,2021-07-28 00:00:00.0,MALYUTIN M,MALYUTIN Martin,ROC,SWM
542,Bronze Medal,3,2021-07-28 00:00:00.0,WINNINGTON E,WINNINGTON Elijah,AUS,SWM
543,Bronze Medal,3,2021-07-28 00:00:00.0,INCERTI Z,INCERTI Zac,AUS,SWM
544,Bronze Medal,3,2021-07-28 00:00:00.0,GRAHAM A,GRAHAM Alexander,AUS,SWM
545,Bronze Medal,3,2021-07-28 00:00:00.0,HORTON M,HORTON Mack,AUS,SWM
546,Bronze Medal,3,2021-07-28 00:00:00.0,CHALMERS K,CHALMERS Kyle,AUS,SWM
547,Bronze Medal,3,2021-07-28 00:00:00.0,NEILL T,NEILL Thomas,AUS,SWM
548,Gold Medal,1,2021-07-28 00:00:00.0,LEDECKY K,LEDECKY Kathleen,USA,SWM
549,Silver Medal,2,2021-07-28 00:00:00.0,SULLIVAN E,SULLIVAN Erica,USA,SWM
550,Bronze Medal,3,2021-07-28 00:00:00.0,KOHLER S,KOHLER Sarah,GER,SWM
551,Gold Medal,1,2021-07-28 00:00:00.0,TITMUS A,TITMUS Ariarne,AUS,SWM
552,Silver Medal,2,2021-07-28 00:00:00.0,HAUGHEY SB,HAUGHEY Siobhan Bernadette,HKG,SWM
553,Bronze Medal,3,2021-07-28 00:00:00.0,OLEKSIAK P,OLEKSIAK Penny,CAN,SWM
554,Gold Medal,1,2021-07-28 00:00:00.0,OHASHI Y,OHASHI Yui,JPN,SWM
555,Silver Medal,2,2021-07-28 00:00:00.0,WALSH A,WALSH Alex,USA,SWM
556,Bronze Medal,3,2021-07-28 00:00:00.0,DOUGLASS K,DOUGLASS Kate,USA,SWM
557,Gold Medal,1,2021-07-28 00:00:00.0,SHI Z,SHI Zhiyong,CHN,WLF
558,Silver Medal,2,2021-07-28 00:00:00.0,MAYORA PERNIA JR,MAYORA PERNIA Julio Ruben,VEN,WLF
559,Bronze Medal,3,2021-07-28 00:00:00.0,ABDULLAH RE,ABDULLAH Rahmat Erwin,INA,WLF
560,Gold Medal,1,2021-07-29 00:00:00.0,LEE S,LEE Sunisa,USA,GAR
561,Silver Medal,2,2021-07-29 00:00:00.0,ANDRADE R,ANDRADE Rebeca,BRA,GAR
562,Bronze Medal,3,2021-07-29 00:00:00.0,MELNIKOVA A,MELNIKOVA Angelina,ROC,GAR
563,Gold Medal,1,2021-07-29 00:00:00.0,FOX J,FOX Jessica,AUS,CSL
564,Silver Medal,2,2021-07-29 00:00:00.0,FRANKLIN M,FRANKLIN Mallory,GBR,CSL
565,Bronze Medal,3,2021-07-29 00:00:00.0,HERZOG A,HERZOG Andrea,GER,CSL
566,Gold Medal,1,2021-07-29 00:00:00.0,DERIGLAZOVA I,DERIGLAZOVA Inna,ROC,FEN
567,Gold Medal,1,2021-07-29 00:00:00.0,ZAGIDULLINA A,ZAGIDULLINA Adelina,ROC,FEN
568,Gold Medal,1,2021-07-29 00:00:00.0,KOROBEYNIKOVA L,KOROBEYNIKOVA Larisa,ROC,FEN
569,Gold Medal,1,2021-07-29 00:00:00.0,MARTYANOVA M,MARTYANOVA Marta,ROC,FEN
570,Silver Medal,2,2021-07-29 00:00:00.0,BLAZE A,BLAZE Anita,FRA,FEN
571,Silver Medal,2,2021-07-29 00:00:00.0,GUYART A,GUYART Astrid,FRA,FEN
572,Silver Medal,2,2021-07-29 00:00:00.0,RANVIER P,RANVIER Pauline,FRA,FEN
573,Silver Medal,2,2021-07-29 00:00:00.0,THIBUS Y,THIBUS Ysaora,FRA,FEN
574,Bronze Medal,3,2021-07-29 00:00:00.0,VOLPI A,VOLPI Alice,ITA,FEN
575,Bronze Medal,3,2021-07-29 00:00:00.0,ERRIGO A,ERRIGO Arianna,ITA,FEN
576,Bronze Medal,3,2021-07-29 00:00:00.0,BATINI M,BATINI Martina,ITA,FEN
577,Bronze Medal,3,2021-07-29 00:00:00.0,CIPRESSA E,CIPRESSA Erica,ITA,FEN
578,Gold Medal,1,2021-07-29 00:00:00.0,WOLF A,WOLF Aaron,JPN,JUD
579,Silver Medal,2,2021-07-29 00:00:00.0,CHO G,CHO Guham,KOR,JUD
580,Bronze Medal,3,2021-07-29 00:00:00.0,ILIASOV N,ILIASOV Niiaz,ROC,JUD
581,Bronze Medal,3,2021-07-29 00:00:00.0,FONSECA J,FONSECA Jorge,POR,JUD
582,Gold Medal,1,2021-07-29 00:00:00.0,HAMADA S,HAMADA Shori,JPN,JUD
583,Silver Medal,2,2021-07-29 00:00:00.0,MALONGA M,MALONGA Madeleine,FRA,JUD
584,Bronze Medal,3,2021-07-29 00:00:00.0,AGUIAR M,AGUIAR Mayra,BRA,JUD
585,Bronze Medal,3,2021-07-29 00:00:00.0,WAGNER AM,WAGNER Anna-Maria,GER,JUD
586,Gold Medal,1,2021-07-29 00:00:00.0,Mc CARTHY F,Mc CARTHY Fintan,IRL,ROW
587,Gold Medal,1,2021-07-29 00:00:00.0,O'DONOVAN P,O'DONOVAN Paul,IRL,ROW
588,Silver Medal,2,2021-07-29 00:00:00.0,ROMMELMANN J,ROMMELMANN Jonathan,GER,ROW
589,Silver Medal,2,2021-07-29 00:00:00.0,OSBORNE J,OSBORNE Jason,GER,ROW
590,Bronze Medal,3,2021-07-29 00:00:00.0,OPPO S,OPPO Stefano,ITA,ROW
591,Bronze Medal,3,2021-07-29 00:00:00.0,RUTA P,RUTA Pietro,ITA,ROW
592,Gold Medal,1,2021-07-29 00:00:00.0,CESARINI F,CESARINI Federica,ITA,ROW
593,Gold Medal,1,2021-07-29 00:00:00.0,RODINI V,RODINI Valentina,ITA,ROW
594,Silver Medal,2,2021-07-29 00:00:00.0,BOVE C,BOVE Claire,FRA,ROW
595,Silver Medal,2,2021-07-29 00:00:00.0,TARANTOLA L,TARANTOLA Laura,FRA,ROW
596,Bronze Medal,3,2021-07-29 00:00:00.0,KEIJSER M,KEIJSER Marieke,NED,ROW
597,Bronze Medal,3,2021-07-29 00:00:00.0,PAULIS I,PAULIS Ilse,NED,ROW
598,Gold Medal,1,2021-07-29 00:00:00.0,SINKOVIC M,SINKOVIC Martin,CRO,ROW
599,Gold Medal,1,2021-07-29 00:00:00.0,SINKOVIC V,SINKOVIC Valent,CRO,ROW
600,Silver Medal,2,2021-07-29 00:00:00.0,COZMIUC M,COZMIUC Marius,ROU,ROW
601,Silver Medal,2,2021-07-29 00:00:00.0,TUDOSA C,TUDOSA Ciprian,ROU,ROW
602,Bronze Medal,3,2021-07-29 00:00:00.0,VYSTAVEL F,VYSTAVEL Frederic,DEN,ROW
603,Bronze Medal,3,2021-07-29 00:00:00.0,SUTTON J,SUTTON Joachim,DEN,ROW
604,Gold Medal,1,2021-07-29 00:00:00.0,PRENDERGAST G,PRENDERGAST Grace,NZL,ROW
605,Gold Medal,1,2021-07-29 00:00:00.0,GOWLER K,GOWLER Kerri,NZL,ROW
606,Silver Medal,2,2021-07-29 00:00:00.0,ORIABINSKAIA E,ORIABINSKAIA Elena,ROC,ROW
607,Silver Medal,2,2021-07-29 00:00:00.0,STEPANOVA V,STEPANOVA Vasilisa,ROC,ROW
608,Bronze Medal,3,2021-07-29 00:00:00.0,JANSSENS H,JANSSENS Hillary,CAN,ROW
609,Bronze Medal,3,2021-07-29 00:00:00.0,FILMER C,FILMER Caileigh,CAN,ROW
610,Gold Medal,1,2021-07-29 00:00:00.0,LIPTAK J,LIPTAK Jiri,CZE,SHO
611,Silver Medal,2,2021-07-29 00:00:00.0,KOSTELECKY D,KOSTELECKY David,CZE,SHO
612,Bronze Medal,3,2021-07-29 00:00:00.0,COWARD HOLLEY MJ,COWARD HOLLEY Matthew John,GBR,SHO
613,Gold Medal,1,2021-07-29 00:00:00.0,REHAK STEFECEKOVA,REHAK STEFECEKOVA Zuzana,SVK,SHO
614,Silver Medal,2,2021-07-29 00:00:00.0,BROWNING K,BROWNING Kayle,USA,SHO
615,Bronze Medal,3,2021-07-29 00:00:00.0,PERILLI A,PERILLI Alessandra,SMR,SHO
616,Gold Medal,1,2021-07-29 00:00:00.0,DRESSEL C,DRESSEL Caeleb,USA,SWM
617,Silver Medal,2,2021-07-29 00:00:00.0,CHALMERS K,CHALMERS Kyle,AUS,SWM
618,Bronze Medal,3,2021-07-29 00:00:00.0,KOLESNIKOV K,KOLESNIKOV Kliment,ROC,SWM
619,Gold Medal,1,2021-07-29 00:00:00.0,STUBBLETY-COOK I,STUBBLETY-COOK Izaac,AUS,SWM
620,Silver Medal,2,2021-07-29 00:00:00.0,KAMMINGA A,KAMMINGA Arno,NED,SWM
621,Bronze Medal,3,2021-07-29 00:00:00.0,MATTSSON M,MATTSSON Matti,FIN,SWM
622,Gold Medal,1,2021-07-29 00:00:00.0,FINKE R,FINKE Robert,USA,SWM
623,Silver Medal,2,2021-07-29 00:00:00.0,PALTRINIERI G,PALTRINIERI Gregorio,ITA,SWM
624,Bronze Medal,3,2021-07-29 00:00:00.0,ROMANCHUK M,ROMANCHUK Mykhailo,UKR,SWM
625,Gold Medal,1,2021-07-29 00:00:00.0,ZHANG Y,ZHANG Yufei,CHN,SWM
626,Silver Medal,2,2021-07-29 00:00:00.0,SMITH R,SMITH Regan,USA,SWM
627,Bronze Medal,3,2021-07-29 00:00:00.0,FLICKINGER H,FLICKINGER Hali,USA,SWM
628,Gold Medal,1,2021-07-29 00:00:00.0,YANG J,YANG Junxuan,CHN,SWM
629,Gold Medal,1,2021-07-29 00:00:00.0,ZHANG Y,ZHANG Yufei,CHN,SWM
630,Gold Medal,1,2021-07-29 00:00:00.0,DONG J,DONG Jie,CHN,SWM
631,Gold Medal,1,2021-07-29 00:00:00.0,ZHANG Y,ZHANG Yifan,CHN,SWM
632,Gold Medal,1,2021-07-29 00:00:00.0,TANG M,TANG Muhan,CHN,SWM
633,Gold Medal,1,2021-07-29 00:00:00.0,LI B,LI Bingjie,CHN,SWM
634,Silver Medal,2,2021-07-29 00:00:00.0,MADDEN P,MADDEN Paige,USA,SWM
635,Silver Medal,2,2021-07-29 00:00:00.0,Mc LAUGHLIN K,Mc LAUGHLIN Kathryn,USA,SWM
636,Silver Medal,2,2021-07-29 00:00:00.0,SIMS A,SIMS Arabella,USA,SWM
637,Silver Medal,2,2021-07-29 00:00:00.0,LEDECKY K,LEDECKY Kathleen,USA,SWM
638,Silver Medal,2,2021-07-29 00:00:00.0,FORDE B,FORDE Brooke,USA,SWM
639,Silver Medal,2,2021-07-29 00:00:00.0,SCHMITT A,SCHMITT Allison,USA,SWM
640,Bronze Medal,3,2021-07-29 00:00:00.0,THROSSELL B,THROSSELL Brianna,AUS,SWM
641,Bronze Medal,3,2021-07-29 00:00:00.0,WILSON M,WILSON Madison,AUS,SWM
642,Bronze Medal,3,2021-07-29 00:00:00.0,O'CALLAGHAN M,O'CALLAGHAN Mollie,AUS,SWM
643,Bronze Medal,3,2021-07-29 00:00:00.0,COOK T,COOK Tamsin,AUS,SWM
644,Bronze Medal,3,2021-07-29 00:00:00.0,HARRIS M,HARRIS Meg,AUS,SWM
645,Bronze Medal,3,2021-07-29 00:00:00.0,TITMUS A,TITMUS Ariarne,AUS,SWM
646,Bronze Medal,3,2021-07-29 00:00:00.0,NEALE L,NEALE Leah,AUS,SWM
647,Bronze Medal,3,2021-07-29 00:00:00.0,McKEON E,McKEON Emma,AUS,SWM
648,Gold Medal,1,2021-07-29 00:00:00.0,CHEN M,CHEN Meng,CHN,TTE
649,Silver Medal,2,2021-07-29 00:00:00.0,SUN Y,SUN Yingsha,CHN,TTE
650,Bronze Medal,3,2021-07-29 00:00:00.0,ITO M,ITO Mima,JPN,TTE
651,Gold Medal,1,2021-07-30 00:00:00.0,AN S,AN San,KOR,ARC
652,Silver Medal,2,2021-07-30 00:00:00.0,OSIPOVA E,OSIPOVA Elena,ROC,ARC
653,Bronze Medal,3,2021-07-30 00:00:00.0,BOARI L,BOARI Lucilla,ITA,ARC
654,Gold Medal,1,2021-07-30 00:00:00.0,BAREGA S,BAREGA Selemon,ETH,ATH
655,Silver Medal,2,2021-07-30 00:00:00.0,CHEPTEGEI J,CHEPTEGEI Joshua,UGA,ATH
656,Bronze Medal,3,2021-07-30 00:00:00.0,KIPLIMO J,KIPLIMO Jacob,UGA,ATH
657,Gold Medal,1,2021-07-30 00:00:00.0,WANG Yi Lyu,WANG Yi Lyu,CHN,BDM
658,Gold Medal,1,2021-07-30 00:00:00.0,HUANG Dong Ping,HUANG Dong Ping,CHN,BDM
659,Silver Medal,2,2021-07-30 00:00:00.0,ZHENG Si Wei,ZHENG Si Wei,CHN,BDM
660,Silver Medal,2,2021-07-30 00:00:00.0,HUANG Ya Qiong,HUANG Ya Qiong,CHN,BDM
661,Bronze Medal,3,2021-07-30 00:00:00.0,WATANABE Y,WATANABE Yuta,JPN,BDM
662,Bronze Medal,3,2021-07-30 00:00:00.0,HIGASHINO A,HIGASHINO Arisa,JPN,BDM
663,Gold Medal,1,2021-07-30 00:00:00.0,PRSKAVEC J,PRSKAVEC Jiri,CZE,CSL
664,Silver Medal,2,2021-07-30 00:00:00.0,GRIGAR J,GRIGAR Jakub,SVK,CSL
665,Bronze Medal,3,2021-07-30 00:00:00.0,AIGNER H,AIGNER Hannes,GER,CSL
666,Gold Medal,1,2021-07-30 00:00:00.0,KIMMANN N,KIMMANN Niek,NED,BMX
667,Silver Medal,2,2021-07-30 00:00:00.0,WHYTE K,WHYTE Kye,GBR,BMX
668,Bronze Medal,3,2021-07-30 00:00:00.0,RAMIREZ YEPES CA,RAMIREZ YEPES Carlos Alberto,COL,BMX
669,Gold Medal,1,2021-07-30 00:00:00.0,SHRIEVER B,SHRIEVER Bethany,GBR,BMX
670,Silver Medal,2,2021-07-30 00:00:00.0,PAJON M,PAJON Mariana,COL,BMX
671,Bronze Medal,3,2021-07-30 00:00:00.0,SMULDERS M,SMULDERS Merel,NED,BMX
672,Gold Medal,1,2021-07-30 00:00:00.0,MINOBE K,MINOBE Kazuyasu,JPN,FEN
673,Gold Medal,1,2021-07-30 00:00:00.0,KANO K,KANO Koki,JPN,FEN
674,Gold Medal,1,2021-07-30 00:00:00.0,YAMADA M,YAMADA Masaru,JPN,FEN
675,Gold Medal,1,2021-07-30 00:00:00.0,UYAMA S,UYAMA Satoru,JPN,FEN
676,Silver Medal,2,2021-07-30 00:00:00.0,BIDA S,BIDA Sergey,ROC,FEN
677,Silver Medal,2,2021-07-30 00:00:00.0,KHODOS S,KHODOS Sergey,ROC,FEN
678,Silver Medal,2,2021-07-30 00:00:00.0,SUKHOV P,SUKHOV Pavel,ROC,FEN
679,Silver Medal,2,2021-07-30 00:00:00.0,GLAZKOV N,GLAZKOV Nikita,ROC,FEN
680,Bronze Medal,3,2021-07-30 00:00:00.0,KWEON Y,KWEON Youngjun,KOR,FEN
681,Bronze Medal,3,2021-07-30 00:00:00.0,PARK S,PARK Sangyoung,KOR,FEN
682,Bronze Medal,3,2021-07-30 00:00:00.0,MA S,MA Segeon,KOR,FEN
683,Bronze Medal,3,2021-07-30 00:00:00.0,SONG J,SONG Jaeho,KOR,FEN
684,Gold Medal,1,2021-07-30 00:00:00.0,KRPALEK L,KRPALEK Lukas,CZE,JUD
685,Silver Medal,2,2021-07-30 00:00:00.0,TUSHISHVILI G,TUSHISHVILI Guram,GEO,JUD
686,Bronze Medal,3,2021-07-30 00:00:00.0,RINER T,RINER Teddy,FRA,JUD
687,Bronze Medal,3,2021-07-30 00:00:00.0,BASHAEV T,BASHAEV Tamerlan,ROC,JUD
688,Gold Medal,1,2021-07-30 00:00:00.0,SONE A,SONE Akira,JPN,JUD
689,Silver Medal,2,2021-07-30 00:00:00.0,ORTIZ I,ORTIZ Idalys,CUB,JUD
690,Bronze Medal,3,2021-07-30 00:00:00.0,DICKO R,DICKO Romane,FRA,JUD
691,Bronze Medal,3,2021-07-30 00:00:00.0,KINDZERSKA I,KINDZERSKA Iryna,AZE,JUD
692,Gold Medal,1,2021-07-30 00:00:00.0,BOND H,BOND Hamish,NZL,ROW
693,Gold Medal,1,2021-07-30 00:00:00.0,BOSWORTH S,BOSWORTH Sam,NZL,ROW
694,Gold Medal,1,2021-07-30 00:00:00.0,BRAKE M,BRAKE Michael,NZL,ROW
695,Gold Medal,1,2021-07-30 00:00:00.0,KIRKHAM S,KIRKHAM Shaun,NZL,ROW
696,Gold Medal,1,2021-07-30 00:00:00.0,MACDONALD M,MACDONALD Matt,NZL,ROW
697,Gold Medal,1,2021-07-30 00:00:00.0,MACKINTOSH T,MACKINTOSH Thomas,NZL,ROW
698,Gold Medal,1,2021-07-30 00:00:00.0,MURRAY T,MURRAY Tom,NZL,ROW
699,Gold Medal,1,2021-07-30 00:00:00.0,WILLIAMSON D,WILLIAMSON Daniel,NZL,ROW
700,Gold Medal,1,2021-07-30 00:00:00.0,WILSON P,WILSON Phillip,NZL,ROW
701,Silver Medal,2,2021-07-30 00:00:00.0,FOLLERT L,FOLLERT Laurits,GER,ROW
702,Silver Medal,2,2021-07-30 00:00:00.0,JAKSCHIK M,JAKSCHIK Malte,GER,ROW
703,Silver Medal,2,2021-07-30 00:00:00.0,JOHANNESEN T,JOHANNESEN Torben,GER,ROW
704,Silver Medal,2,2021-07-30 00:00:00.0,OCIK H,OCIK Hannes,GER,ROW
705,Silver Medal,2,2021-07-30 00:00:00.0,SAUER M,SAUER Martin,GER,ROW
706,Silver Medal,2,2021-07-30 00:00:00.0,SCHMIDT R,SCHMIDT Richard,GER,ROW
707,Silver Medal,2,2021-07-30 00:00:00.0,SCHNEIDER J,SCHNEIDER Jakob,GER,ROW
708,Silver Medal,2,2021-07-30 00:00:00.0,WEISSENFELD J,WEISSENFELD Johannes,GER,ROW
709,Silver Medal,2,2021-07-30 00:00:00.0,ROGGENSACK O,ROGGENSACK Olaf,GER,ROW
710,Bronze Medal,3,2021-07-30 00:00:00.0,BUGAJSKI J,BUGAJSKI Josh,GBR,ROW
711,Bronze Medal,3,2021-07-30 00:00:00.0,DAWSON J,DAWSON Jacob,GBR,ROW
712,Bronze Medal,3,2021-07-30 00:00:00.0,ELWES C,ELWES Charles,GBR,ROW
713,Bronze Medal,3,2021-07-30 00:00:00.0,FIELDMAN H,FIELDMAN Henry,GBR,ROW
714,Bronze Medal,3,2021-07-30 00:00:00.0,FORD T,FORD Tom,GBR,ROW
715,Bronze Medal,3,2021-07-30 00:00:00.0,GEORGE T,GEORGE Tom,GBR,ROW
716,Bronze Medal,3,2021-07-30 00:00:00.0,RUDKIN J,RUDKIN James,GBR,ROW
717,Bronze Medal,3,2021-07-30 00:00:00.0,SBIHI M,SBIHI Mohamed,GBR,ROW
718,Bronze Medal,3,2021-07-30 00:00:00.0,WYNNE-GRIFFITH O,WYNNE-GRIFFITH Oliver,GBR,ROW
719,Gold Medal,1,2021-07-30 00:00:00.0,NTOUSKOS S,NTOUSKOS Stefanos,GRE,ROW
720,Silver Medal,2,2021-07-30 00:00:00.0,BORCH K,BORCH Kjetil,NOR,ROW
721,Bronze Medal,3,2021-07-30 00:00:00.0,MARTIN D,MARTIN Damir,CRO,ROW
722,Gold Medal,1,2021-07-30 00:00:00.0,GRAINGER S,GRAINGER Susanne,CAN,ROW
723,Gold Medal,1,2021-07-30 00:00:00.0,GRUCHALLA-WESIERS.,GRUCHALLA-WESIERSKI Kasia,CAN,ROW
724,Gold Medal,1,2021-07-30 00:00:00.0,KIT K,KIT Kristen,CAN,ROW
725,Gold Medal,1,2021-07-30 00:00:00.0,MAILEY M,MAILEY Madison,CAN,ROW
726,Gold Medal,1,2021-07-30 00:00:00.0,PAYNE S,PAYNE Sydney,CAN,ROW
727,Gold Medal,1,2021-07-30 00:00:00.0,PROSKE A,PROSKE Andrea,CAN,ROW
728,Gold Medal,1,2021-07-30 00:00:00.0,ROMAN L,ROMAN Lisa,CAN,ROW
729,Gold Medal,1,2021-07-30 00:00:00.0,ROPER C,ROPER Christine,CAN,ROW
730,Gold Medal,1,2021-07-30 00:00:00.0,WASTENEYS A,WASTENEYS Avalon,CAN,ROW
731,Silver Medal,2,2021-07-30 00:00:00.0,DYKE E,DYKE Emma,NZL,ROW
732,Silver Medal,2,2021-07-30 00:00:00.0,GOWLER J,GOWLER Jackie,NZL,ROW
733,Silver Medal,2,2021-07-30 00:00:00.0,GOWLER K,GOWLER Kerri,NZL,ROW
734,Silver Medal,2,2021-07-30 00:00:00.0,BEVAN K,BEVAN Kelsey,NZL,ROW
735,Silver Medal,2,2021-07-30 00:00:00.0,PRENDERGAST G,PRENDERGAST Grace,NZL,ROW
736,Silver Medal,2,2021-07-30 00:00:00.0,ROSS B,ROSS Beth,NZL,ROW
737,Silver Medal,2,2021-07-30 00:00:00.0,SHEPHERD C,SHEPHERD Caleb,NZL,ROW
738,Silver Medal,2,2021-07-30 00:00:00.0,SPOORS L,SPOORS Lucy,NZL,ROW
739,Silver Medal,2,2021-07-30 00:00:00.0,GREENSLADE E,GREENSLADE Ella,NZL,ROW
740,Bronze Medal,3,2021-07-30 00:00:00.0,ZHANG M,ZHANG Min,CHN,ROW
741,Bronze Medal,3,2021-07-30 00:00:00.0,GUO L,GUO Linlin,CHN,ROW
742,Bronze Medal,3,2021-07-30 00:00:00.0,JU R,JU Rui,CHN,ROW
743,Bronze Medal,3,2021-07-30 00:00:00.0,LI J,LI Jingjing,CHN,ROW
744,Bronze Medal,3,2021-07-30 00:00:00.0,MIAO T,MIAO Tian,CHN,ROW
745,Bronze Medal,3,2021-07-30 00:00:00.0,WANG Y,WANG Yuwei,CHN,ROW
746,Bronze Medal,3,2021-07-30 00:00:00.0,WANG Z,WANG Zifeng,CHN,ROW
747,Bronze Medal,3,2021-07-30 00:00:00.0,XU F,XU Fei,CHN,ROW
748,Bronze Medal,3,2021-07-30 00:00:00.0,ZHANG D,ZHANG Dechang,CHN,ROW
749,Gold Medal,1,2021-07-30 00:00:00.0,TWIGG E,TWIGG Emma,NZL,ROW
750,Silver Medal,2,2021-07-30 00:00:00.0,PRAKATSEN H,PRAKATSEN Hanna,ROC,ROW
751,Bronze Medal,3,2021-07-30 00:00:00.0,LOBNIG M,LOBNIG Magdalena,AUT,ROW
752,Gold Medal,1,2021-07-30 00:00:00.0,BATSARASHKINA V,BATSARASHKINA Vitalina,ROC,SHO
753,Silver Medal,2,2021-07-30 00:00:00.0,KIM M,KIM Minjung,KOR,SHO
754,Bronze Medal,3,2021-07-30 00:00:00.0,XIAO J,XIAO Jiaruixuan,CHN,SHO
755,Gold Medal,1,2021-07-30 00:00:00.0,RYLOV E,RYLOV Evgeny,ROC,SWM
756,Silver Medal,2,2021-07-30 00:00:00.0,MURPHY R,MURPHY Ryan,USA,SWM
757,Bronze Medal,3,2021-07-30 00:00:00.0,GREENBANK L,GREENBANK Luke,GBR,SWM
758,Gold Medal,1,2021-07-30 00:00:00.0,WANG S,WANG Shun,CHN,SWM
759,Silver Medal,2,2021-07-30 00:00:00.0,SCOTT D,SCOTT Duncan,GBR,SWM
760,Bronze Medal,3,2021-07-30 00:00:00.0,DESPLANCHES J,DESPLANCHES Jeremy,SUI,SWM
761,Gold Medal,1,2021-07-30 00:00:00.0,McKEON E,McKEON Emma,AUS,SWM
762,Silver Medal,2,2021-07-30 00:00:00.0,HAUGHEY SB,HAUGHEY Siobhan Bernadette,HKG,SWM
763,Bronze Medal,3,2021-07-30 00:00:00.0,CAMPBELL C,CAMPBELL Cate,AUS,SWM
764,Gold Medal,1,2021-07-30 00:00:00.0,SCHOENMAKER T,SCHOENMAKER Tatjana,RSA,SWM
765,Silver Medal,2,2021-07-30 00:00:00.0,KING L,KING Lilly,USA,SWM
766,Bronze Medal,3,2021-07-30 00:00:00.0,LAZOR A,LAZOR Annie,USA,SWM
767,Gold Medal,1,2021-07-30 00:00:00.0,MA L,MA Long,CHN,TTE
768,Silver Medal,2,2021-07-30 00:00:00.0,FAN Z,FAN Zhendong,CHN,TTE
769,Bronze Medal,3,2021-07-30 00:00:00.0,OVTCHAROV D,OVTCHAROV Dimitrij,GER,TTE
770,Gold Medal,1,2021-07-30 00:00:00.0,MEKTIC N,MEKTIC Nikola,CRO,TEN
771,Gold Medal,1,2021-07-30 00:00:00.0,PAVIC M,PAVIC Mate,CRO,TEN
772,Silver Medal,2,2021-07-30 00:00:00.0,CILIC M,CILIC Marin,CRO,TEN
773,Silver Medal,2,2021-07-30 00:00:00.0,DODIG I,DODIG Ivan,CRO,TEN
774,Bronze Medal,3,2021-07-30 00:00:00.0,DANIELL M,DANIELL Marcus,NZL,TEN
775,Bronze Medal,3,2021-07-30 00:00:00.0,VENUS M,VENUS Michael,NZL,TEN
776,Gold Medal,1,2021-07-30 00:00:00.0,ZHU X,ZHU Xueying,CHN,GTR
777,Silver Medal,2,2021-07-30 00:00:00.0,LIU L,LIU Lingling,CHN,GTR
778,Bronze Medal,3,2021-07-30 00:00:00.0,PAGE B,PAGE Bryony,GBR,GTR
779,Gold Medal,1,2021-07-31 00:00:00.0,GAZOZ M,GAZOZ Mete,TUR,ARC
780,Silver Medal,2,2021-07-31 00:00:00.0,NESPOLI M,NESPOLI Mauro,ITA,ARC
781,Bronze Medal,3,2021-07-31 00:00:00.0,FURUKAWA T,FURUKAWA Takaharu,JPN,ARC
782,Gold Medal,1,2021-07-31 00:00:00.0,HOLUB-KOWALIK M,HOLUB-KOWALIK Malgorzata,POL,ATH
783,Gold Medal,1,2021-07-31 00:00:00.0,KACZMAREK N,KACZMAREK Natalia,POL,ATH
784,Gold Medal,1,2021-07-31 00:00:00.0,BAUMGART-WITAN I,BAUMGART-WITAN Iga,POL,ATH
785,Gold Medal,1,2021-07-31 00:00:00.0,SWIETY-ERSETIC J,SWIETY-ERSETIC Justyna,POL,ATH
786,Gold Medal,1,2021-07-31 00:00:00.0,DUSZYNSKI K,DUSZYNSKI Kajetan,POL,ATH
787,Gold Medal,1,2021-07-31 00:00:00.0,ZALEWSKI K,ZALEWSKI Karol,POL,ATH
788,Gold Medal,1,2021-07-31 00:00:00.0,KOWALUK D,KOWALUK Dariusz,POL,ATH
789,Silver Medal,2,2021-07-31 00:00:00.0,OGANDO A,OGANDO Alexander,DOM,ATH
